day,Speed
1,27.448979591836736
2,27.46268656716418
3,25.967741935483872
4,29.23170731707317
5,25.384615384615383
6,27.34426229508197
7,23.428571428571427
8,27.181818181818183
9,29.346153846153847
10,28.5
11,28.622222222222224
12,29.2
13,29.0
14,25.529411764705884
15,27.661538461538463
16,27.681818181818183
17,26.595238095238095
18,30.578125
19,27.964912280701753
20,28.3
21,28.925925925925927
22,29.185185185185187
23,25.714285714285715
24,23.869565217391305
25,27.91780821917808
26,25.4375
27,25.22222222222222
28,29.647058823529413
29,26.661538461538463
30,27.303030303030305
